groups,intl,increment,incre_perc,development_levels
"[0,10)",0.254740487,0.018451031,0.067538815,less-developed
"[10,20)",0.131403919,0.069913284,0.347279234,less-developed
"[20,30)",0.083420794,0.030181818,0.26567891,less-developed
"[30,40)",0.052953522,0.016659479,0.239315628,less-developed
"[40,50)",0.043994879,0.040338435,0.478321472,fast-developing
"[50,60)",0.014810475,0.026967393,0.64549471,fast-developing
"[60,70)",0.009012583,0.002600568,0.223932985,less-developed
"[70,80)",0.003671486,0.005058088,0.579419778,fast-developing
"[80,90)",0.029995695,0.032708251,0.521629867,fast-developing
"[90,100)",0.122980863,0.037839977,0.235292743,less-developed
"[100,110)",0.054733938,0.009890657,0.153047879,less-developed
"[110,120)",0.007841711,0.000181719,0.022648518,less-developed
"[120,130)",0.001611318,0.001965701,0.549536079,fast-developing
"[130,140)",0.01328039,0.022538929,0.629239463,fast-developing
"[140,150)",0.345705256,0.038021249,0.09908424,highly-developed
"[150,160)",0.370952126,0.05374892,0.12655707,highly-developed
"[160,170)",0.031174582,0.015446704,0.33132299,less-developed
"[170,180)",0.031523387,0.012333014,0.281213542,less-developed
"[180,190)",0.054912071,0.028102884,0.338527966,less-developed
"[190,200)",0.039642685,0.01639604,0.292584097,less-developed
"[200,210)",0.031584863,0.014781377,0.318796109,less-developed
"[210,220)",0.005637905,0.003758688,0.400005393,less-developed
"[220,230)",0.011973964,0.002804321,0.189759559,less-developed
"[230,240)",0.094437339,0.03773242,0.285484516,less-developed
"[240,250)",0.010862041,0.011879409,0.522368154,fast-developing
"[250,260)",0.001169577,0.001594991,0.576940505,fast-developing
"[260,270)",0.009516901,0.001903241,0.166656467,less-developed
"[270,280)",0.003759444,0.000596012,0.136842709,less-developed
"[280,290)",0,0,0,less-developed
"[290,300)",0.026800206,0.003520369,0.116104952,less-developed
"[300,310)",0.075952123,0.017668036,0.188720427,less-developed
"[310,320)",0,0,0,less-developed
"[320,330)",0.001425759,0,0,less-developed
"[330,340)",0.00744045,0,0,less-developed
"[340,350)",0.009974077,0.003990601,0.285763913,less-developed
"[350,360)",0.001393032,0.000398122,0.222271278,less-developed
"[360,370)",0.092043277,0.005719423,0.058503123,less-developed
"[370,380)",0.047817827,0.004814326,0.091471187,less-developed
"[380,390)",0.113863642,0.014243586,0.111184875,less-developed
"[390,400)",0.010135673,0.004023349,0.284154423,less-developed
"[400,410)",0.006328594,0.00143156,0.184475772,less-developed
"[410,420)",0.008209441,0.001341504,0.140457708,less-developed
"[420,430)",0.04441673,0.007012644,0.136354837,less-developed
"[430,440)",0.097836882,0.017144155,0.149104198,less-developed
"[440,450)",0.002778101,0.001111762,0.285810128,less-developed
"[450,460)",0.001547436,0,0,less-developed
"[460,470)",0.009420783,0,0,less-developed
"[470,480)",0.063474084,0.013377486,0.174069126,less-developed
"[480,490)",0.068471291,0.012536592,0.154757678,less-developed
"[490,500)",0.010723458,0.002608402,0.195651785,less-developed
"[500,510)",0.013695825,0.002597316,0.159411606,less-developed
"[510,520)",0.003760542,0,0,less-developed
"[520,530)",0.027545859,0.005345987,0.16253228,less-developed
"[530,540)",0.020416008,0.002836567,0.121989373,less-developed
"[540,550)",0.000184039,0.000181699,0.496801126,fast-developing
"[550,560)",0.000921277,0.003117739,0.771905516,fast-developing
"[560,570)",0.056589591,0.019661473,0.257851783,less-developed
"[570,580)",0.074854999,0.025454072,0.25375643,less-developed
"[580,590)",0.1531925,0.061329347,0.285888585,less-developed
"[590,600)",0.596250791,0.178236425,0.230134754,highly-developed
"[600,610)",0.953229297,0.017525854,0.018053835,highly-developed
"[610,620)",0.76898665,0.062014206,0.074625924,highly-developed
"[620,630)",0.394711104,0.100592064,0.203091904,highly-developed
"[630,640)",0.220574651,0.13747026,0.383946973,developed
"[640,650)",0.093350719,0.056055522,0.375188624,fast-developing
"[650,660)",0.089257306,0.058958215,0.397787051,fast-developing
"[660,670)",0.014831048,0.006925473,0.318317108,less-developed
"[670,680)",0.03371268,0.029143908,0.463657173,fast-developing
"[680,690)",0.06611311,0.009589694,0.126675545,less-developed
"[690,700)",0.439424613,0.078786237,0.152035098,highly-developed
"[700,710)",0.25617295,0.194393167,0.431442045,developed
"[710,720)",0.018255162,0.025662917,0.584336053,fast-developing
"[720,730)",0.055523733,0.044595697,0.445424998,fast-developing
"[730,740)",0.292687511,0.079270833,0.213117502,highly-developed
"[740,750)",0.11719049,0.027730196,0.191347396,less-developed
"[750,760)",0.04475966,0.048583698,0.52048372,fast-developing
"[760,770)",0.056703633,0.040557093,0.416993525,fast-developing
"[770,780)",0.03393421,0.026135761,0.435088622,fast-developing
"[780,790)",0.039701574,0.095049528,0.705371064,fast-developing
"[790,800)",0.068019188,0.069149933,0.504121717,fast-developing
"[800,810)",0.155763401,0.130859548,0.456556421,developed
"[810,820)",0.072736691,0.094284585,0.564506436,fast-developing
"[820,830)",0.014658509,0.008147676,0.357257282,less-developed
"[830,840)",0.003044436,0.014456925,0.826045779,fast-developing
"[840,850)",0.114386605,0.078956776,0.408375895,fast-developing
"[850,860)",0.485805451,0.088674484,0.154356103,highly-developed
"[860,870)",0.214599228,0.040805216,0.159767054,less-developed
"[870,880)",0.024444586,0.017099117,0.411593479,fast-developing
"[880,890)",0.063115416,0.083476194,0.569447285,fast-developing
"[890,900)",0.012926377,0.024090891,0.650801423,fast-developing
"[900,910)",0.025715372,0.011739126,0.313423653,less-developed
"[910,920)",0.043188232,0.061763779,0.588495434,fast-developing
"[920,930)",0.013845315,0.0386613,0.736312944,fast-developing
"[930,940)",0.00565304,0.004861712,0.462370574,fast-developing
"[940,950)",0.010936795,0.013724506,0.556519964,fast-developing
"[950,960)",0.004463527,0.00899294,0.668298777,fast-developing
"[960,970)",0.016032041,6.98E-05,0.004334147,less-developed
"[970,980)",0.009202591,0,0,less-developed
"[980,990)",0,0,0,less-developed
"[990,1000)",0.002388115,0.000382146,0.137945826,less-developed
"[1000,1010)",0.210163216,0.047919038,0.185673509,less-developed
"[1010,1020)",0.236449824,0.121942602,0.340248826,developed
"[1020,1030)",0.034324673,0.11116603,0.764076517,fast-developing
"[1030,1040)",0.000380691,0.0426908,0.991161407,fast-developing
"[1040,1050)",0.044943126,0.041920454,0.482601041,fast-developing
"[1050,1060)",0.005640499,0.011673422,0.674221761,fast-developing
"[1060,1070)",0.06756756,0.009860476,0.127350197,less-developed
"[1070,1080)",0.017787537,0.039424905,0.6890967,fast-developing
"[1080,1090)",0,0.05435095,1,fast-developing
"[1090,1100)",0.021050381,0.019495842,0.48083005,fast-developing
"[1100,1110)",0.142259627,0.021367345,0.130585712,less-developed
"[1110,1120)",0.183619821,0.075628536,0.291722336,developed
"[1120,1130)",0.005837799,0.045464621,0.886208124,fast-developing
"[1130,1140)",0,0.006212522,1,fast-developing
"[1140,1150)",0.000187843,0.021621154,0.991386903,fast-developing
"[1150,1160)",0.035285531,0.041367068,0.539669479,fast-developing
"[1160,1170)",0.020006646,0.024873208,0.554217666,fast-developing
"[1170,1180)",0.006432207,0.043965949,0.872372169,fast-developing
"[1180,1190)",0.019288974,0.106180277,0.846265326,fast-developing
"[1190,1200)",0.053468007,0.072360592,0.5750727,fast-developing
"[1200,1210)",0.405242338,0.13178528,0.245397584,highly-developed
"[1210,1220)",0.483034448,0.118416135,0.196884229,highly-developed
"[1220,1230)",0.186565144,0.178917241,0.489537249,developed
"[1230,1240)",0.034374515,0.081129636,0.702395845,fast-developing
"[1240,1250)",0.240060345,0.086807452,0.265573583,developed
"[1250,1260)",0.440423795,0.043730191,0.090322898,highly-developed
"[1260,1270)",0.189799393,0.078480655,0.292532582,developed
"[1270,1280)",0.110764427,0.099408437,0.472984168,developed
"[1280,1290)",0.335246287,0.079755787,0.192181659,highly-developed
"[1290,1300)",0.484765487,0.119561128,0.197841903,highly-developed
"[1300,1310)",0.718607824,0.112655352,0.135523087,highly-developed
"[1310,1320)",0.576205629,0.058823754,0.092631546,highly-developed
"[1320,1330)",0.327104389,0.049130268,0.13058411,highly-developed
"[1330,1340)",0.211958715,0.180876084,0.460438038,developed
"[1340,1350)",0.1024862,0.184983286,0.643488423,developed
"[1350,1360)",0.233301362,0.127908648,0.354111583,developed
"[1360,1370)",0.082977264,0.128825893,0.608234056,developed
"[1370,1380)",0.146117099,0.123633051,0.458324308,developed
"[1380,1390)",0.2697069,0.136644862,0.336272351,developed
"[1390,1400)",0.229244431,0.094916864,0.292807516,developed
"[1400,1410)",0.309924809,0.158640525,0.338566499,developed
"[1410,1420)",0.176076614,0.117858298,0.400967333,developed
"[1420,1430)",0.053556133,0.114540081,0.681395961,fast-developing
"[1430,1440)",0.215891882,0.131087501,0.377796225,developed
"[1440,1450)",0.163379004,0.243125666,0.598088249,developed
"[1450,1460)",0.058586059,0.198579464,0.772185408,developed
"[1460,1470)",0.043636185,0.077337175,0.639290956,fast-developing
"[1470,1480)",0.234602721,0.182914116,0.438099976,developed
"[1480,1490)",0.129904581,0.194298779,0.599311429,developed
"[1490,1500)",0.409849175,0.208344497,0.337021401,developed
